fare_amount,fare_class,passenger_count,distance_in_kms,Weekday_name,Hour,Month_Day
12.5,1,2,3.27,6,22,15
4.9,0,1,1.62,5,18,17
9.3,0,1,3.19,2,0,18
12.9,1,1,4.71,4,22,21
6.1,0,1,1.33,4,20,21
7.3,0,2,1.96,5,9,17
4.9,0,2,1.3,1,8,12
6.1,0,1,1.16,4,13,21
10.5,1,1,3.43,1,22,12
6.1,0,3,1.24,7,13,16
49.57,1,4,21.07,6,15,15
10.1,1,1,3.13,3,19,20
6.1,0,2,0.83,2,13,11
8.1,0,1,2.15,5,18,17
4.9,0,2,0.91,2,9,11
11.3,1,1,1.97,3,16,13
4.9,0,2,1.03,4,10,14
18.1,1,1,7.54,7,11,23
4.1,0,1,0.66,5,14,17
6.9,0,5,1.63,3,13,13
11.7,1,1,4.07,4,21,14
10.9,1,1,1.1,4,12,21
4.9,0,1,0.94,5,4,17
12.1,1,1,2.96,4,20,14
10.5,1,1,2.84,5,4,17
20.9,1,1,9.39,4,1,21
4.9,0,1,0.92,3,13,20
4.9,0,2,0.32,7,18,16
4.9,0,1,0.76,3,12,13
7.3,0,2,2.27,3,21,13
7.7,0,1,1.51,4,17,14
10.5,1,1,3.95,2,9,11
11.3,1,1,3.22,5,12,24
12.1,1,3,5.83,7,1,23
4.9,0,1,1.01,1,13,19
7.3,0,1,3.0,4,7,21
9.3,0,1,3.36,6,8,15
6.1,0,1,1.98,4,7,21
5.3,0,1,1.48,4,21,14
33.07,1,2,9.53,7,13,16
4.9,0,2,1.29,2,0,18
11.3,1,2,3.32,5,22,24
4.9,0,1,0.64,4,19,14
4.1,0,1,0.71,6,1,22
11.3,1,1,5.16,1,18,12
24.1,1,2,9.7,2,7,11
9.3,0,2,3.08,5,18,17
5.4,0,1,1.37,5,22,17
11.3,1,1,3.74,1,18,19
14.1,1,1,5.91,1,9,12
10.9,1,1,4.83,1,5,19
11.7,1,1,3.82,6,22,22
4.9,0,1,1.36,4,8,14
15.3,1,1,7.28,6,7,22
6.5,0,2,1.88,5,23,24
8.9,0,2,2.58,5,18,17
10.5,1,1,2.27,7,21,16
20.1,1,2,10.3,3,23,13
31.6,1,1,10.35,1,5,19
9.7,0,1,2.0,1,9,12
4.9,0,1,0.76,3,6,20
6.1,0,1,2.4,1,12,19
28.27,1,1,8.04,4,7,14
9.7,0,3,2.64,4,11,14
8.5,0,1,4.01,7,7,16
5.7,0,1,0.57,6,21,15
8.1,0,1,4.09,4,2,21
6.9,0,1,1.68,6,20,15
8.5,0,1,2.84,5,20,17
9.3,0,1,2.36,3,17,13
33.07,1,1,8.27,6,9,22
6.9,0,1,1.3,7,12,23
18.1,1,1,8.68,4,21,21
6.1,0,1,1.77,3,21,20
4.5,0,2,1.16,2,11,18
8.1,0,1,3.92,5,16,24
4.1,0,1,1.3,3,6,13
9.3,0,1,1.52,3,11,13
14.1,1,1,7.24,4,21,21
5.7,0,1,1.39,1,13,12
10.1,1,1,4.26,4,15,21
8.1,0,2,2.62,7,22,16
5.7,0,2,0.92,4,8,21
5.3,0,4,1.56,5,23,24
4.1,0,1,1.16,7,0,23
11.3,1,1,3.91,4,14,14
16.1,1,3,5.61,2,0,25
6.5,0,1,2.16,4,17,14
4.1,0,1,0.66,1,19,19
6.9,0,1,2.2,3,10,13
4.9,0,1,1.36,6,15,15
4.9,0,1,1.34,2,14,11
11.7,1,2,5.56,5,1,17
12.5,1,1,2.99,4,9,21
4.9,0,2,0.49,2,10,18
5.7,0,1,0.94,4,14,21
8.9,0,1,2.24,4,19,14
49.57,1,1,19.29,6,12,22
4.5,0,1,0.66,7,18,16
6.9,0,1,1.53,5,13,17
7.7,0,1,3.53,3,9,20
3.3,0,1,0.78,4,6,14
30.67,1,1,9.68,1,21,19
12.5,1,5,5.47,7,7,16
13.3,1,1,4.31,5,23,24
4.1,0,1,0.47,3,12,20
24.5,1,1,10.05,7,8,23
33.7,1,2,10.27,1,9,12
12.1,1,2,3.71,4,19,21
7.7,0,1,1.91,6,18,22
7.3,0,1,2.45,3,14,20
11.7,1,3,3.93,5,8,24
25.87,1,1,8.4,2,17,18
5.7,0,1,1.66,2,2,25
4.1,0,1,1.19,1,22,12
14.5,1,4,6.17,5,4,17
7.3,0,1,1.36,5,21,17
9.7,0,1,2.95,2,3,25
10.1,1,1,2.27,6,17,15
25.87,1,1,8.69,1,10,12
4.5,0,2,0.79,7,9,16
13.7,1,1,0.01,1,11,12
7.7,0,3,2.08,7,22,23
13.3,1,1,6.86,7,11,16
9.3,0,1,0.5,3,8,13
9.7,0,2,4.45,6,0,22
8.5,0,1,1.8,3,11,20
8.9,0,2,1.94,4,12,14
5.7,0,1,1.52,5,14,24
6.5,0,2,1.84,2,4,18
4.5,0,1,0.84,5,4,24
10.1,1,1,4.13,2,2,25
6.9,0,2,2.44,7,13,16
10.1,1,1,2.4,3,10,20
31.3,1,1,19.71,1,0,12
6.5,0,1,1.53,2,7,18
14.1,1,1,5.34,3,21,13
6.5,0,1,2.5,2,10,11
5.3,0,1,1.9,2,10,11
10.1,1,1,5.5,3,2,13
4.9,0,2,0.73,1,11,12
8.1,0,1,2.58,2,18,11
10.1,1,1,2.59,1,12,12
6.5,0,1,2.29,4,14,14
6.5,0,2,1.45,7,11,16
4.1,0,1,0.41,3,6,20
5.3,0,4,1.35,4,10,21
6.1,0,1,1.43,4,18,14
4.1,0,1,0.75,1,12,19
4.5,0,1,1.47,7,0,16
32.1,1,1,15.09,1,12,19
11.7,1,1,4.89,1,23,12
7.3,0,2,1.53,2,17,11
10.1,1,1,3.95,2,4,18
15.7,1,1,5.92,2,0,25
7.7,0,1,2.05,5,21,24
7.3,0,1,2.91,1,10,19
5.3,0,1,0.99,3,17,20
6.5,0,1,1.65,5,16,17
6.1,0,1,1.64,1,19,19
10.1,1,1,5.12,7,4,16
5.3,0,1,0.84,6,16,15
6.1,0,1,1.58,4,20,21
8.5,0,1,2.13,4,18,21
4.5,0,1,1.8,1,11,19
8.5,0,1,2.14,1,10,12
8.9,0,2,2.74,1,16,12
7.7,0,2,3.11,5,14,24
16.9,1,1,8.89,6,23,15
7.7,0,2,2.32,3,22,20
8.1,0,1,1.6,6,12,22
11.3,1,2,5.11,7,18,23
5.7,0,1,0.99,7,11,16
15.7,1,1,5.69,7,16,16
6.9,0,1,2.36,2,17,18
9.3,0,1,1.92,6,10,15
6.9,0,2,2.58,4,21,21
10.5,1,3,4.02,6,21,22
10.9,1,1,3.68,3,8,20
6.1,0,1,1.77,3,20,13
49.57,1,1,20.32,4,19,14
14.5,1,2,6.98,6,18,15
5.7,0,5,2.12,1,7,12
7.3,0,1,3.13,1,6,12
10.9,1,2,3.37,7,9,23
29.47,1,2,11.88,2,21,11
12.5,1,2,4.48,1,8,12
6.9,0,5,2.75,1,17,19
8.9,0,3,2.33,5,18,24
5.3,0,5,1.4,4,14,14
4.5,0,3,0.88,6,12,15
11.7,1,1,3.76,4,8,21
12.5,1,1,4.21,1,19,12
3.7,0,1,0.64,2,4,18
22.1,1,1,9.26,1,16,12
16.9,1,1,8.42,1,0,19
10.5,1,1,3.2,1,14,12
11.7,1,1,5.13,3,22,13
7.3,0,2,1.94,6,10,22
6.9,0,1,2.71,6,8,15
8.9,0,1,2.73,4,7,14
5.3,0,1,1.46,2,15,11
15.3,1,1,6.74,7,1,16
10.5,1,1,4.77,2,15,18
10.9,1,1,1.57,6,19,22
6.9,0,2,2.07,5,22,17
12.5,1,1,4.26,4,8,21
7.3,0,5,2.19,3,21,13
5.7,0,1,2.08,5,17,17
9.7,0,1,4.1,6,17,15
8.1,0,1,3.76,2,12,18
4.5,0,1,1.12,5,13,17
10.9,1,2,3.01,5,22,24
6.9,0,2,2.34,1,17,19
19.7,1,1,7.52,6,8,15
4.1,0,1,1.14,5,11,17
6.1,0,1,1.41,6,9,22
4.9,0,1,0.98,5,11,24
8.1,0,1,2.08,7,21,16
8.1,0,1,3.68,3,21,13
7.3,0,1,1.61,7,17,23
9.7,0,1,3.99,4,21,21
7.7,0,1,2.14,6,12,22
7.3,0,2,2.55,2,7,18
8.5,0,1,3.03,4,18,14
8.9,0,3,2.24,7,20,23
6.1,0,1,1.87,3,10,20
6.9,0,1,1.72,3,22,13
10.9,1,1,3.5,5,19,24
5.7,0,1,1.44,4,22,14
3.3,0,2,0.68,1,10,19
22.9,1,2,10.38,6,7,22
4.5,0,1,1.18,7,12,16
15.7,1,1,8.96,7,1,23
8.9,0,1,4.06,6,23,15
5.7,0,2,1.24,7,15,16
15.3,1,1,6.26,4,10,14
12.1,1,1,4.27,3,0,13
10.5,1,1,5.36,5,1,24
5.7,0,1,1.6,1,15,12
4.5,0,1,1.07,5,15,24
11.3,1,1,3.55,5,16,24
12.1,1,1,5.03,4,22,14
8.1,0,1,3.06,5,9,24
4.1,0,1,1.23,7,9,23
23.3,1,1,9.0,2,7,11
6.9,0,1,1.75,6,6,15
10.5,1,2,5.22,3,0,13
8.1,0,2,1.57,7,11,23
3.3,0,1,0.53,4,14,21
6.9,0,1,2.28,4,14,14
8.9,0,1,2.24,4,18,21
8.9,0,1,3.67,2,1,18
12.1,1,1,3.44,6,17,15
5.7,0,1,1.26,6,20,22
16.1,1,2,6.89,3,14,20
11.7,1,1,4.85,2,22,11
10.9,1,1,3.8,6,21,22
32.9,1,1,15.83,7,1,23
49.57,1,1,19.39,3,17,13
8.1,0,1,2.92,2,19,11
5.7,0,1,1.55,7,7,23
15.3,1,2,3.4,6,18,15
5.7,0,1,1.46,5,9,17
6.9,0,1,4.39,1,5,12
9.7,0,1,2.47,1,7,19
12.1,1,2,3.08,3,17,20
8.1,0,1,1.77,2,18,18
4.9,0,1,1.56,7,7,23
5.7,0,1,1.12,1,14,12
12.9,1,1,4.77,7,15,23
11.7,1,1,2.92,2,14,11
8.5,0,1,1.25,3,11,13
5.7,0,1,1.08,4,18,21
4.9,0,1,1.44,3,22,20
25.47,1,1,9.75,6,18,15
8.5,0,2,1.19,6,8,15
14.1,1,5,5.57,3,23,13
3.7,0,1,0.57,6,19,22
9.7,0,2,3.4,4,14,14
5.7,0,1,1.75,6,7,22
13.3,1,1,5.69,3,8,13
7.3,0,3,2.27,2,21,18
45.0,1,1,21.43,7,17,23
22.1,1,1,11.21,1,0,12
9.3,0,2,1.97,5,11,17
7.7,0,1,2.92,6,17,15
4.5,0,2,1.37,4,15,14
2.9,0,1,0.36,5,15,24
5.3,0,1,0.68,4,13,21
8.9,0,1,3.8,4,8,21
6.9,0,1,1.86,3,21,20
16.9,1,2,7.4,2,19,18
5.7,0,1,1.28,4,8,14
9.3,0,1,2.3,4,19,21
3.3,0,1,0.46,4,16,21
8.9,0,2,1.34,3,13,13
8.5,0,3,2.4,7,22,23
7.7,0,1,2.0,3,10,20
6.9,0,3,2.83,2,22,18
9.3,0,1,5.1,6,16,15
11.7,1,1,5.68,4,20,14
12.5,1,1,3.95,5,5,24
5.7,0,1,2.33,6,16,22
9.7,0,1,2.87,4,20,21
7.3,0,1,1.91,4,15,14
5.3,0,2,1.11,7,17,23
14.9,1,2,5.54,5,18,17
14.9,1,1,5.51,6,14,22
8.9,0,1,3.29,5,1,17
14.9,1,1,6.26,5,13,24
29.07,1,1,9.76,4,13,14
7.7,0,1,2.21,6,13,22
12.1,1,1,2.56,7,9,16
11.7,1,1,3.64,4,9,14
10.9,1,1,4.0,3,17,20
6.9,0,2,1.97,2,2,18
6.5,0,1,2.26,3,10,13
4.5,0,1,0.96,3,18,13
10.9,1,1,3.32,7,11,23
5.3,0,1,1.71,6,7,15
8.5,0,1,0.42,1,10,12
6.5,0,1,1.86,4,10,21
3.3,0,1,0.79,5,13,24
11.3,1,1,3.76,4,11,14
16.9,1,1,7.02,7,9,16
17.3,1,1,7.52,1,23,19
13.3,1,1,7.87,2,15,11
45.0,1,3,22.08,5,9,17
9.3,0,1,2.44,3,8,20
7.7,0,1,1.72,2,1,18
4.9,0,1,1.07,1,19,19
6.1,0,1,1.29,2,16,11
8.5,0,2,2.52,7,11,16
10.1,1,3,2.22,2,4,11
6.1,0,1,1.2,7,7,23
20.9,1,1,8.12,3,16,20
5.7,0,1,1.24,6,12,22
5.3,0,2,0.83,7,10,23
4.5,0,1,1.51,4,18,14
9.3,0,1,0.06,5,12,24
9.3,0,1,3.36,3,21,13
18.5,1,4,4.05,5,1,17
6.5,0,2,1.93,7,22,23
10.5,1,1,2.52,7,16,23
5.3,0,1,1.17,5,19,17
13.3,1,1,5.58,6,22,15
20.9,1,1,9.5,2,23,11
12.1,1,2,5.34,7,22,23
17.7,1,1,5.8,6,14,22
8.5,0,1,3.95,4,21,21
6.9,0,1,0.99,4,12,14
4.9,0,1,1.13,3,7,13
6.1,0,1,1.91,6,10,15
9.3,0,2,2.74,3,17,20
27.3,1,1,12.19,7,10,16
11.3,1,1,4.57,7,7,16
6.5,0,1,1.21,3,18,20
7.3,0,2,2.52,7,15,16
4.1,0,2,0.54,1,10,19
12.9,1,4,1.48,7,23,16
3.3,0,1,0.58,1,6,19
13.3,1,1,4.8,2,15,18
20.9,1,1,7.26,1,18,19
25.87,1,1,10.66,4,22,14
4.5,0,4,1.04,2,20,11
6.9,0,5,2.82,6,20,15
20.1,1,1,1.98,4,13,21
35.3,1,1,2.24,6,17,15
6.9,0,1,2.22,6,9,15
7.7,0,1,2.91,3,17,20
11.3,1,1,3.83,7,15,23
11.7,1,1,4.89,2,3,18
14.1,1,1,5.35,4,13,21
3.7,0,2,0.89,6,15,15
5.3,0,1,1.56,5,17,17
5.7,0,3,1.33,1,17,19
12.9,1,1,6.15,4,19,14
8.1,0,1,3.17,3,7,20
2.5,0,1,0.26,3,17,20
4.5,0,1,1.51,4,21,14
5.7,0,1,1.4,4,6,21
4.1,0,1,0.94,1,17,12
25.47,1,1,6.79,2,17,18
6.1,0,1,2.07,1,20,12
6.1,0,2,1.73,2,13,11
9.3,0,1,2.46,7,8,23
6.5,0,1,1.74,4,9,21
7.3,0,2,2.59,7,14,16
12.5,1,2,3.15,2,3,25
4.9,0,1,2.01,3,19,13
6.5,0,1,1.46,2,16,18
5.7,0,2,1.69,7,15,23
6.1,0,1,1.7,5,11,17
45.0,1,2,19.85,1,12,19
5.7,0,2,0.39,3,4,13
11.3,1,1,4.42,1,14,19
6.9,0,2,2.01,1,8,12
10.5,1,1,3.65,5,0,17
6.5,0,1,2.16,2,14,11
12.5,1,3,4.08,5,18,24
6.5,0,1,1.15,7,19,23
20.9,1,1,9.62,3,10,13
4.5,0,4,0.96,2,17,18
3.7,0,1,0.89,1,19,12
6.5,0,1,2.73,6,1,22
5.7,0,3,1.34,3,2,20
7.7,0,2,1.78,3,12,20
5.3,0,1,1.1,2,13,11
6.1,0,1,2.24,4,12,21
4.5,0,2,1.25,2,13,18
18.1,1,2,6.78,3,20,20
12.1,1,1,6.91,5,3,17
18.9,1,1,6.88,6,12,15
5.3,0,2,1.79,2,21,18
4.5,0,2,0.71,4,8,14
5.3,0,1,1.04,6,19,22
5.7,0,1,6.76,2,14,18
5.7,0,1,1.7,6,8,15
8.9,0,1,2.15,2,15,18
4.9,0,2,1.28,2,1,18
6.5,0,1,1.24,1,10,19
49.57,1,1,19.9,3,18,20
10.9,1,1,4.81,2,18,11
5.7,0,1,2.09,1,18,19
4.9,0,1,0.79,5,20,24
5.7,0,1,1.16,7,20,16
12.5,1,1,6.29,7,1,23
5.3,0,1,1.36,1,20,12
8.1,0,1,2.46,3,1,20
4.9,0,1,1.15,6,10,22
6.9,0,2,1.32,2,13,18
14.5,1,2,4.91,1,9,19
4.9,0,3,1.44,5,4,24
6.1,0,2,2.46,1,12,12
10.1,1,1,4.17,7,7,16
8.1,0,1,2.04,5,15,24
6.5,0,5,1.56,4,19,21
45.0,1,2,19.93,6,6,15
16.9,1,1,6.72,5,20,24
3.7,0,1,0.39,4,19,14
3.7,0,1,0.58,3,10,20
23.3,1,1,8.61,1,7,19
10.5,1,2,2.22,2,14,18
8.1,0,1,1.11,5,20,24
12.5,1,3,4.65,7,20,23
4.5,0,1,1.68,6,22,15
12.5,1,1,4.51,1,11,19
6.1,0,3,1.35,5,20,24
4.5,0,1,0.92,3,20,20
5.3,0,1,0.86,7,23,23
8.9,0,1,3.51,5,14,24
6.9,0,2,1.69,3,21,20
4.5,0,1,1.15,1,17,12
6.5,0,1,2.12,6,18,15
14.9,1,1,1.62,2,7,18
9.3,0,1,1.3,2,18,11
8.9,0,1,1.75,4,17,14
20.5,1,1,9.39,7,8,16
4.9,0,1,1.23,2,14,11
5.7,0,1,1.77,6,10,22
15.7,1,2,7.04,2,15,11
8.5,0,1,2.61,3,19,13
10.5,1,1,3.66,5,20,17
7.3,0,1,1.3,1,13,19
9.3,0,1,1.4,5,21,24
9.3,0,1,3.1,7,23,23
13.7,1,4,5.98,2,22,18
6.9,0,1,1.92,5,2,24
6.9,0,2,2.2,7,5,16
5.3,0,1,2.25,5,4,24
6.1,0,1,1.49,2,12,11
5.7,0,1,1.72,5,19,17
5.7,0,1,1.58,6,17,15
6.1,0,1,1.81,2,20,11
7.7,0,1,2.75,3,17,13
5.3,0,2,1.69,2,12,11
5.7,0,1,2.01,1,18,19
16.9,1,1,9.09,7,23,16
12.5,1,2,3.15,6,18,22
6.5,0,5,2.61,6,7,22
6.1,0,1,2.55,1,7,12
10.9,1,2,4.57,6,11,15
7.7,0,1,1.45,6,10,22
10.5,1,1,4.87,2,10,18
30.1,1,1,17.78,1,4,19
5.7,0,1,1.58,1,18,12
10.1,1,3,1.27,4,17,21
2.9,0,1,0.09,7,8,23
18.1,1,1,6.69,5,17,17
25.87,1,1,7.26,6,6,15
7.7,0,3,2.32,4,19,14
10.9,1,2,1.25,7,16,16
5.7,0,2,1.36,6,22,22
5.7,0,1,1.12,4,9,14
6.1,0,1,2.11,6,21,15
4.9,0,1,1.25,2,2,18
12.5,1,1,5.05,7,6,23
6.5,0,1,2.47,1,9,12
8.1,0,1,2.61,3,7,13
6.1,0,2,1.28,1,19,12
10.5,1,1,3.64,1,23,12
29.47,1,2,11.79,7,0,23
4.9,0,1,1.83,6,19,22
9.7,0,1,3.92,2,16,11
7.3,0,1,1.97,6,0,22
6.9,0,1,3.26,2,10,18
10.9,1,1,4.35,6,13,15
4.1,0,1,1.0,4,6,14
14.1,1,1,6.21,1,20,12
10.1,1,1,2.04,7,20,16
9.7,0,1,3.72,5,16,17
6.5,0,1,1.25,6,13,22
13.7,1,1,4.9,4,19,21
10.9,1,3,2.5,4,9,21
9.3,0,1,2.44,1,15,12
4.1,0,1,1.0,3,15,13
10.1,1,1,3.87,6,13,22
6.5,0,1,1.74,5,12,24
6.9,0,1,1.75,1,14,12
4.9,0,1,1.25,1,20,12
11.7,1,2,5.15,5,8,24
4.5,0,1,0.85,5,14,17
3.3,0,1,0.56,7,2,16
5.3,0,1,1.4,2,16,11
17.3,1,1,8.53,7,9,16
9.3,0,1,4.11,3,10,20
12.5,1,1,5.71,1,21,19
17.3,1,1,3.15,6,15,22
5.7,0,1,0.45,7,10,23
10.9,1,2,4.66,5,2,24
16.5,1,1,7.46,4,22,14
7.3,0,1,2.81,4,12,21
4.1,0,1,1.13,2,10,11
18.9,1,1,9.97,5,1,24
6.9,0,1,1.79,1,10,12
3.7,0,1,1.42,1,21,12
5.3,0,1,1.22,5,12,17
8.1,0,1,2.06,4,19,21
42.5,1,1,0.98,7,11,16
19.7,1,2,9.01,3,22,13
12.5,1,2,4.87,1,18,19
24.1,1,1,3.2,7,18,23
6.9,0,2,1.5,2,11,18
10.1,1,1,3.1,7,23,16
22.9,1,2,4.34,3,22,13
7.7,0,1,2.04,4,13,21
5.7,0,1,1.32,1,17,19
10.1,1,1,1.46,7,21,16
18.5,1,2,7.21,1,2,19
7.3,0,1,2.12,4,6,14
4.5,0,1,1.19,5,20,17
6.1,0,1,0.83,7,12,23
21.3,1,1,11.86,6,16,15
5.3,0,1,1.11,6,19,22
8.9,0,1,2.65,7,8,23
4.9,0,2,1.36,7,22,23
4.1,0,1,0.63,7,10,16
8.9,0,1,2.7,7,10,16
4.5,0,1,0.56,4,11,21
6.5,0,1,2.07,7,6,16
4.1,0,3,0.6,3,7,13
6.9,0,1,2.12,4,23,21
12.5,1,1,2.58,6,15,22
8.5,0,3,2.05,6,0,22
3.7,0,1,0.55,4,9,14
30.5,1,2,11.59,5,10,24
16.9,1,2,6.67,2,12,11
16.9,1,1,5.72,2,1,18
6.9,0,1,1.27,7,14,16
10.9,1,1,3.95,2,19,18
10.1,1,1,2.65,4,11,14
4.5,0,1,0.71,3,17,20
14.1,1,2,2.42,7,18,23
7.3,0,1,2.83,3,22,13
2.9,0,2,0.48,5,10,24
4.5,0,1,0.75,5,14,17
24.67,1,1,9.19,4,5,14
6.5,0,1,1.8,7,16,16
8.5,0,1,2.7,4,17,14
15.3,1,1,8.39,1,4,12
6.9,0,1,2.47,6,6,15
4.9,0,1,0.8,2,3,25
6.1,0,1,2.25,1,22,19
13.3,1,1,4.78,4,20,14
5.3,0,2,2.1,6,7,15
45.0,1,1,5.21,3,12,13
3.3,0,2,0.68,1,13,12
10.5,1,1,4.29,7,7,23
5.7,0,1,1.03,4,8,21
7.3,0,1,2.18,2,11,11
8.5,0,3,2.41,5,17,24
10.5,1,5,3.81,7,6,16
4.9,0,1,1.18,3,7,13
10.5,1,1,4.11,2,22,18
12.1,1,2,3.03,7,17,23
6.5,0,1,3.31,7,1,16
5.3,0,1,1.24,6,13,22
8.1,0,1,4.19,2,20,18
13.3,1,1,3.85,7,12,23
26.1,1,1,7.9,4,15,21
3.7,0,1,0.79,7,16,16
8.9,0,1,1.96,3,10,20
9.3,0,2,2.86,4,18,21
14.5,1,1,6.27,5,23,24
6.1,0,1,2.17,1,21,19
9.3,0,1,2.63,6,7,22
5.7,0,1,1.62,3,23,13
3.7,0,1,0.62,1,2,19
4.5,0,1,0.82,7,18,23
6.1,0,2,1.53,5,20,17
5.7,0,1,0.9,7,10,16
10.9,1,1,4.1,6,6,22
7.3,0,1,1.95,1,18,19
5.7,0,1,0.64,7,20,16
30.67,1,1,0.99,1,17,12
6.1,0,1,1.53,3,8,20
8.1,0,1,2.42,3,13,13
4.5,0,1,0.87,2,21,18
16.9,1,4,6.67,7,22,23
9.7,0,1,2.85,6,13,15
9.7,0,1,3.92,7,17,16
27.07,1,1,8.67,5,23,17
8.1,0,2,1.28,2,15,18
5.7,0,1,1.74,3,10,13
9.3,0,1,2.73,2,16,11
10.1,1,5,4.09,7,19,23
7.3,0,1,2.23,6,22,22
2.9,0,1,7.73,7,9,23
13.3,1,1,6.06,5,5,17
10.9,1,1,1.22,3,15,13
8.1,0,1,2.61,5,11,17
7.3,0,5,2.9,1,20,19
3.3,0,1,0.6,4,8,14
7.3,0,1,2.54,5,2,24
16.1,1,1,7.25,7,4,23
4.5,0,1,1.36,4,10,21
3.7,0,1,2.2,4,21,21
25.47,1,2,11.51,6,20,15
8.9,0,1,2.46,6,8,15
6.1,0,1,1.66,5,6,17
12.5,1,2,5.36,2,14,11
6.9,0,1,0.35,3,7,13
4.5,0,1,1.22,3,22,20
8.5,0,1,4.2,4,22,14
7.3,0,1,2.3,4,20,14
4.5,0,1,0.95,2,22,18
3.7,0,1,0.84,7,13,16
4.5,0,2,0.73,7,0,16
4.1,0,1,0.86,6,10,22
13.7,1,2,2.14,6,21,15
4.9,0,2,0.39,7,15,16
9.3,0,1,3.32,3,17,20
4.9,0,1,1.18,2,16,18
49.57,1,1,19.45,3,17,20
8.9,0,1,3.74,2,2,18
24.1,1,1,9.85,7,19,23
11.3,1,1,4.28,3,20,20
10.9,1,1,6.01,2,4,11
10.5,1,1,3.91,3,14,13
14.1,1,1,5.88,2,15,18
22.1,1,1,8.53,2,20,11
10.1,1,5,1.5,5,19,17
10.5,1,1,1.84,6,10,15
16.1,1,2,6.18,6,6,22
7.7,0,1,2.12,2,13,11
33.2,1,1,9.69,4,12,21
27.7,1,1,15.33,2,17,11
6.1,0,1,1.18,4,13,21
16.9,1,1,9.3,1,21,12
7.7,0,1,3.1,4,18,14
6.1,0,1,2.01,6,9,15
6.1,0,1,1.13,3,19,13
8.1,0,1,2.05,4,20,21
13.7,1,4,6.68,5,20,17
22.27,1,2,6.07,2,20,18
5.3,0,1,1.15,4,0,14
6.1,0,1,1.36,4,19,21
6.5,0,1,1.99,4,20,21
7.3,0,1,2.2,4,12,14
8.9,0,1,2.02,6,15,22
8.5,0,1,1.39,3,12,13
6.1,0,1,1.29,6,9,22
16.1,1,3,5.66,7,18,23
6.9,0,1,2.6,1,21,19
32.1,1,1,7.47,1,21,12
6.9,0,1,1.62,7,15,23
2.5,0,1,4.48,2,0,18
7.3,0,1,1.99,1,23,19
11.7,1,1,5.28,4,22,14
23.7,1,5,10.67,3,22,13
8.9,0,1,2.99,3,10,13
10.5,1,1,3.25,7,20,23
9.7,0,2,2.58,3,18,13
25.3,1,3,5.52,5,22,17
4.1,0,1,0.55,6,12,22
10.9,1,1,3.61,6,23,22
8.1,0,1,3.57,6,3,22
3.3,0,2,0.73,5,10,17
5.3,0,1,1.18,6,9,15
17.7,1,1,9.68,2,20,11
2.9,0,1,0.36,7,8,23
6.5,0,3,2.5,3,17,13
7.3,0,1,2.48,7,22,16
6.5,0,1,1.84,1,17,12
10.5,1,1,3.49,6,18,22
12.5,1,2,3.71,5,3,17
4.1,0,2,1.2,3,21,13
45.0,1,2,1.5,1,21,12
7.7,0,1,2.5,5,15,17
4.1,0,1,0.82,7,6,23
10.5,1,1,3.79,5,9,17
4.1,0,2,1.03,4,14,21
9.7,0,1,2.58,1,15,19
7.7,0,1,3.11,4,18,14
14.9,1,1,6.71,5,10,24
4.9,0,1,1.06,6,19,15
5.7,0,1,1.28,2,11,11
6.9,0,1,2.39,6,8,22
13.3,1,1,5.04,5,18,17
6.9,0,1,1.43,6,17,22
7.7,0,1,2.43,6,3,15
6.1,0,1,1.1,6,16,15
12.9,1,1,5.39,2,18,11
9.3,0,1,2.21,2,0,18
4.5,0,4,0.98,5,15,24
12.9,1,2,3.26,5,16,17
11.7,1,1,3.85,1,8,19
5.3,0,1,2.3,1,19,12
7.7,0,1,1.94,6,22,15
7.7,0,3,2.61,5,23,17
8.1,0,1,3.36,3,22,20
5.7,0,1,1.47,4,14,21
6.1,0,2,0.7,6,10,15
7.3,0,1,2.25,1,23,19
4.9,0,1,0.82,3,20,13
5.3,0,1,1.2,1,19,19
4.1,0,1,1.18,4,21,21
20.9,1,1,0.47,1,13,19
27.3,1,1,11.53,2,20,18
6.5,0,1,1.94,3,22,13
49.57,1,1,20.13,6,7,22
11.7,1,1,3.99,2,3,18
6.1,0,1,2.29,3,0,20
5.3,0,4,1.19,5,22,17
4.1,0,1,0.88,3,20,13
32.0,1,3,9.84,4,6,21
6.1,0,1,1.62,4,7,14
20.5,1,1,8.99,7,4,16
35.3,1,2,16.07,1,18,12
17.3,1,4,7.87,2,3,18
7.3,0,1,1.67,1,10,12
6.1,0,1,0.8,1,18,12
14.5,1,1,5.19,7,14,16
14.1,1,1,8.43,4,4,21
4.1,0,2,0.92,5,22,24
6.5,0,1,1.69,6,5,15
4.9,0,1,0.95,1,10,12
8.5,0,3,3.28,7,23,23
4.1,0,1,0.93,3,20,13
3.7,0,1,0.55,5,17,24
28.27,1,2,8.5,2,15,11
9.7,0,1,2.26,6,20,22
13.7,1,1,6.73,2,1,18
3.7,0,1,0.67,6,5,15
12.1,1,1,4.66,2,10,18
4.9,0,1,0.94,5,10,24
2.9,0,1,0.28,7,0,23
4.5,0,1,1.36,5,11,17
3.7,0,1,0.79,1,10,19
4.9,0,1,1.76,3,18,20
3.3,0,1,0.26,4,9,21
6.5,0,2,1.92,2,18,11
2.5,0,2,0.07,7,21,23
7.7,0,1,1.64,3,9,20
